Day fraction since midnight on 11/17/2018	Fluoride Probe (volts)	balance ()	balance2 ()
2:25:42 PM	0.61512005	-999999	-999999
2:25:43 PM	0.6151123	-999999	-999999
2:25:44 PM	0.61511219	-999999	-999999
2:25:45 PM	0.61512649	-999999	-999999
2:25:46 PM	0.61511588	-999999	-999999
2:25:47 PM	0.61511689	-999999	-999999
2:25:48 PM	0.61510146	-999999	-999999
2:25:49 PM	0.61510408	-999999	-999999
2:25:50 PM	0.61513162	-999999	-999999
2:25:51 PM	0.61512208	-999999	-999999
2:25:52 PM	0.61511177	-999999	-999999
2:25:53 PM	0.61512387	-999999	-999999
2:25:54 PM	0.61509788	-999999	-999999
2:25:55 PM	0.61511564	-999999	-999999
2:25:56 PM	0.61512274	-999999	-999999
2:25:57 PM	0.61511135	-999999	-999999
2:25:58 PM	0.61512208	-999999	-999999
2:25:59 PM	0.61513126	-999999	-999999
2:26:00 PM	0.61511254	-999999	-999999
2:26:01 PM	0.61510623	-999999	-999999
2:26:02 PM	0.61512011	-999999	-999999
2:26:03 PM	0.61511296	-999999	-999999
2:26:04 PM	0.6151126	-999999	-999999
2:26:05 PM	0.61511678	-999999	-999999
2:26:06 PM	0.61512619	-999999	-999999
2:26:07 PM	0.61510658	-999999	-999999
2:26:08 PM	0.61511791	-999999	-999999
2:26:09 PM	0.61510909	-999999	-999999
2:26:10 PM	0.61512643	-999999	-999999
2:26:11 PM	0.61512887	-999999	-999999
2:26:12 PM	0.61511463	-999999	-999999
2:26:13 PM	0.61512935	-999999	-999999
2:26:14 PM	0.61513191	-999999	-999999
2:26:15 PM	0.61510938	-999999	-999999
2:26:16 PM	0.61510569	-999999	-999999
2:26:17 PM	0.61512244	-999999	-999999
2:26:18 PM	0.61510694	-999999	-999999
2:26:19 PM	0.61513191	-999999	-999999
2:26:20 PM	0.61512482	-999999	-999999
2:26:21 PM	0.61511976	-999999	-999999
2:26:22 PM	0.61511135	-999999	-999999
2:26:23 PM	0.61512887	-999999	-999999
2:26:24 PM	0.6151126	-999999	-999999
2:26:25 PM	0.61511791	-999999	-999999
2:26:26 PM	0.61513245	-999999	-999999
2:26:27 PM	0.61512029	-999999	-999999
2:26:28 PM	0.61512381	-999999	-999999
2:26:29 PM	0.61512947	-999999	-999999
2:26:30 PM	0.61510521	-999999	-999999
2:26:31 PM	0.61512017	-999999	-999999
2:26:32 PM	0.6151315	-999999	-999999
2:26:33 PM	0.61512148	-999999	-999999
2:26:34 PM	0.61511034	-999999	-999999
2:26:35 PM	0.61511689	-999999	-999999
2:26:36 PM	0.6151135	-999999	-999999
2:26:37 PM	0.61511725	-999999	-999999
2:26:38 PM	0.61512673	-999999	-999999
2:26:39 PM	0.61512595	-999999	-999999
